Timestamp,Layer,Event,Data,Status,GT_X,GT_Y,GT_Z
2026-07-03 09:03:19,LLM,PlanGenerated,"{""latency_s"": -1.0, ""task"": ""abort"", ""plan"": {""task"": ""abort"", ""reason"": ""object_class_not_in_scene""}}",VALID,,,
2026-07-03 09:03:19,Executor,SequenceStarted,"{""message"": ""loading plan""}",IN_PROGRESS,,,
2026-07-03 09:03:19,Executor,SequenceCompleted,"{""latency_s"": 0.019, ""message"": ""abort: object_class_not_in_scene""}",SUCCESS,,,
2026-07-03 09:18:01,LLM,PlanGenerated,"{""latency_s"": -1.0, ""task"": ""abort"", ""plan"": {""task"": ""abort"", ""reason"": ""object_class_not_in_scene""}}",VALID,,,
2026-07-03 09:18:01,Executor,SequenceStarted,"{""message"": ""loading plan""}",IN_PROGRESS,,,
2026-07-03 09:18:01,Executor,SequenceCompleted,"{""latency_s"": 0.007, ""message"": ""abort: object_class_not_in_scene""}",SUCCESS,,,
2026-07-03 09:30:37,LLM,UserCommandReceived,"{""command"": ""toma el objeto rojo por favor""}",VALID,,,
2026-07-03 09:30:37,LLM,PlanGenerated,"{""latency_s"": 0.005, ""task"": ""abort"", ""plan"": {""task"": ""abort"", ""reason"": ""no_reachable_object""}}",VALID,,,
2026-07-03 09:30:37,Executor,SequenceStarted,"{""message"": ""loading plan""}",IN_PROGRESS,,,
2026-07-03 09:30:37,Executor,SequenceCompleted,"{""latency_s"": 0.022, ""message"": ""abort: no_reachable_object""}",SUCCESS,,,
2026-07-03 09:31:16,LLM,UserCommandReceived,"{""command"": ""toma el objeto rojo ahora""}",VALID,,,
2026-07-03 09:31:16,LLM,PlanGenerated,"{""latency_s"": 0.006, ""task"": ""abort"", ""plan"": {""task"": ""abort"", ""reason"": ""no_reachable_object""}}",VALID,,,
2026-07-03 09:31:16,Executor,SequenceStarted,"{""message"": ""loading plan""}",IN_PROGRESS,,,
2026-07-03 09:31:16,Executor,SequenceCompleted,"{""latency_s"": 0.015, ""message"": ""abort: no_reachable_object""}",SUCCESS,,,
2026-07-03 09:32:05,LLM,UserCommandReceived,"{""command"": ""toma el objeto rojo ahora""}",VALID,,,
2026-07-03 09:32:33,LLM,PlanGenerated,"{""latency_s"": 28.443, ""task"": ""abort"", ""plan"": {""task"": ""abort"", ""reason"": ""no_reachable_object""}}",VALID,,,
2026-07-03 09:32:33,Executor,SequenceStarted,"{""message"": ""loading plan""}",IN_PROGRESS,,,
2026-07-03 09:32:33,Executor,SequenceCompleted,"{""latency_s"": 0.011, ""message"": ""abort: no_reachable_object""}",SUCCESS,,,
2026-07-03 09:32:48,LLM,PlanGenerated,"{""latency_s"": -1.0, ""task"": ""abort"", ""plan"": {""task"": ""abort"", ""reason"": ""no_reachable_object""}}",VALID,,,
2026-07-03 09:32:48,Executor,SequenceStarted,"{""message"": ""loading plan""}",IN_PROGRESS,,,
2026-07-03 09:32:48,Executor,SequenceCompleted,"{""latency_s"": 0.011, ""message"": ""abort: no_reachable_object""}",SUCCESS,,,
2026-07-03 09:32:57,LLM,UserCommandReceived,"{""command"": ""agarrame el objeto rojo por favor""}",VALID,,,
2026-07-03 09:33:09,LLM,UserCommandReceived,"{""command"": ""agarrame el objeto rojo por favor""}",VALID,,,
2026-07-03 11:24:39,LLM,UserCommandReceived,"{""command"": ""traeme el objeto rojo por favor""}",VALID,,,
2026-07-03 11:26:49,LLM,PlanGenerated,"{""latency_s"": 130.352, ""task"": ""abort"", ""plan"": {""task"": ""abort"", ""reason"": ""command_not_understood""}}",VALID,,,
2026-07-03 11:26:49,Executor,SequenceStarted,"{""message"": ""loading plan""}",IN_PROGRESS,,,
2026-07-03 11:26:49,Executor,SequenceCompleted,"{""latency_s"": 0.024, ""message"": ""abort: command_not_understood""}",SUCCESS,,,
2026-07-03 11:27:11,LLM,UserCommandReceived,"{""command"": ""agarra el objeto rojo por favor""}",VALID,,,
2026-07-03 11:27:11,LLM,PlanGenerated,"{""latency_s"": 0.003, ""task"": ""abort"", ""plan"": {""task"": ""abort"", ""reason"": ""no_reachable_object""}}",VALID,,,
2026-07-03 11:27:11,Executor,SequenceStarted,"{""message"": ""loading plan""}",IN_PROGRESS,,,
2026-07-03 11:27:11,Executor,SequenceCompleted,"{""latency_s"": 0.01, ""message"": ""abort: no_reachable_object""}",SUCCESS,,,
2026-07-03 11:33:49,LLM,PlanGenerated,"{""latency_s"": -1.0, ""task"": ""abort"", ""plan"": {""task"": ""abort"", ""reason"": ""no_reachable_object""}}",VALID,,,
2026-07-03 11:33:49,Executor,SequenceStarted,"{""message"": ""loading plan""}",IN_PROGRESS,,,
2026-07-03 11:33:49,Executor,SequenceCompleted,"{""latency_s"": 0.007, ""message"": ""abort: no_reachable_object""}",SUCCESS,,,
